Year	Month	Day	Hour	Minute	Second	   ALT(km)	 LAT	    LON
2012	08	30	09	26	00	    7769.2	   6.6	     -157.3
2012	08	30	09	31	00	    8688.4	   8.6	     -141.0
2012	08	30	09	36	00	    9777.9	   9.6	     -128.2
2012	08	30	09	41	00	   10945.5	   9.9	     -118.3
2012	08	30	09	46	00	   12136.6	  10.0	     -110.6
2012	08	30	09	51	00	   13320.7	   9.8	     -104.5
2012	08	30	09	56	00	   14481.3	   9.6	      -99.6
2012	08	30	10	01	00	   15609.7	   9.3	      -95.6
2012	08	30	10	06	00	   16701.8	   9.0	      -92.3
2012	08	30	10	11	00	   17755.8	   8.7	      -89.5
2012	08	30	10	16	00	   18771.2	   8.3	      -87.2
2012	08	30	10	21	00	   19748.4	   8.0	      -85.3
2012	08	30	10	26	00	   20688.4	   7.7	      -83.6
2012	08	30	10	31	00	   21592.1	   7.4	      -82.3
2012	08	30	10	36	00	   22460.6	   7.1	      -81.1
2012	08	30	10	41	00	   23295.2	   6.8	      -80.1
2012	08	30	10	46	00	   24097.0	   6.6	      -79.3
2012	08	30	10	51	00	   24867.1	   6.3	      -78.6
2012	08	30	10	56	00	   25606.6	   6.0	      -78.0
2012	08	30	11	01	00	   26316.3	   5.8	      -77.5
2012	08	30	11	06	00	   26997.4	   5.6	      -77.1
2012	08	30	11	11	00	   27650.7	   5.3	      -76.8
2012	08	30	11	16	00	   28276.9	   5.1	      -76.5
2012	08	30	11	21	00	   28876.9	   4.9	      -76.4
2012	08	30	11	26	00	   29451.4	   4.7	      -76.3
2012	08	30	11	31	00	   30000.9	   4.5	      -76.2
2012	08	30	11	36	00	   30526.2	   4.3	      -76.2
2012	08	30	11	41	00	   31027.8	   4.1	      -76.2
2012	08	30	11	46	00	   31506.2	   3.9	      -76.3
2012	08	30	11	51	00	   31962.0	   3.7	      -76.4
2012	08	30	11	56	00	   32395.5	   3.5	      -76.5
2012	08	30	12	01	00	   32807.2	   3.3	      -76.6
2012	08	30	12	06	00	   33197.5	   3.1	      -76.8
2012	08	30	12	11	00	   33566.7	   3.0	      -77.0
2012	08	30	12	16	00	   33915.2	   2.8	      -77.3
2012	08	30	12	21	00	   34243.4	   2.6	      -77.5
2012	08	30	12	26	00	   34551.4	   2.5	      -77.8
2012	08	30	12	31	00	   34839.6	   2.3	      -78.1
2012	08	30	12	36	00	   35108.2	   2.1	      -78.4
2012	08	30	12	41	00	   35357.4	   2.0	      -78.7
2012	08	30	12	46	00	   35587.4	   1.8	      -79.1
2012	08	30	12	51	00	   35798.4	   1.7	      -79.4
2012	08	30	12	56	00	   35990.7	   1.5	      -79.8
2012	08	30	13	01	00	   36164.2	   1.3	      -80.1
2012	08	30	13	06	00	   36319.2	   1.2	      -80.5
2012	08	30	13	11	00	   36455.9	   1.0	      -80.9
2012	08	30	13	16	00	   36574.2	   0.9	      -81.3
2012	08	30	13	21	00	   36674.3	   0.7	      -81.6
2012	08	30	13	26	00	   36756.2	   0.6	      -82.0
2012	08	30	13	31	00	   36820.1	   0.4	      -82.4
2012	08	30	13	36	00	   36866.0	   0.3	      -82.8
2012	08	30	13	41	00	   36893.8	   0.1	      -83.2
2012	08	30	13	46	00	   36903.7	  -0.0	      -83.6
2012	08	30	13	51	00	   36895.6	  -0.2	      -84.0
2012	08	30	13	56	00	   36869.6	  -0.3	      -84.4
2012	08	30	14	01	00	   36825.5	  -0.5	      -84.8
2012	08	30	14	06	00	   36763.5	  -0.6	      -85.2
2012	08	30	14	11	00	   36683.3	  -0.8	      -85.6
2012	08	30	14	16	00	   36585.1	  -0.9	      -86.0
2012	08	30	14	21	00	   36468.6	  -1.1	      -86.4
2012	08	30	14	26	00	   36333.8	  -1.2	      -86.8
2012	08	30	14	31	00	   36180.7	  -1.4	      -87.2
2012	08	30	14	36	00	   36009.0	  -1.5	      -87.5
2012	08	30	14	41	00	   35818.7	  -1.7	      -87.9
2012	08	30	14	46	00	   35609.5	  -1.8	      -88.2
2012	08	30	14	51	00	   35381.4	  -2.0	      -88.6
2012	08	30	14	56	00	   35134.2	  -2.2	      -88.9
2012	08	30	15	01	00	   34867.5	  -2.3	      -89.2
2012	08	30	15	06	00	   34581.4	  -2.5	      -89.5
2012	08	30	15	11	00	   34275.4	  -2.7	      -89.8
2012	08	30	15	16	00	   33949.3	  -2.8	      -90.0
2012	08	30	15	21	00	   33602.8	  -3.0	      -90.3
2012	08	30	15	26	00	   33235.7	  -3.2	      -90.5
2012	08	30	15	31	00	   32847.5	  -3.4	      -90.7
2012	08	30	15	36	00	   32438.0	  -3.5	      -90.8
2012	08	30	15	41	00	   32006.7	  -3.7	      -91.0
2012	08	30	15	46	00	   31553.3	  -3.9	      -91.1
2012	08	30	15	51	00	   31077.2	  -4.1	      -91.1
2012	08	30	15	56	00	   30578.0	  -4.3	      -91.1
2012	08	30	16	01	00	   30055.1	  -4.5	      -91.1
2012	08	30	16	06	00	   29508.0	  -4.7	      -91.1
2012	08	30	16	11	00	   28936.2	  -4.9	      -91.0
2012	08	30	16	16	00	   28338.8	  -5.1	      -90.8
2012	08	30	16	21	00	   27715.3	  -5.3	      -90.6
2012	08	30	16	26	00	   27064.8	  -5.6	      -90.3
2012	08	30	16	31	00	   26386.6	  -5.8	      -89.9
2012	08	30	16	36	00	   25679.8	  -6.1	      -89.4
2012	08	30	16	41	00	   24943.4	  -6.3	      -88.8
2012	08	30	16	46	00	   24176.5	  -6.6	      -88.1
2012	08	30	16	51	00	   23378.0	  -6.8	      -87.3
2012	08	30	16	56	00	   22546.9	  -7.1	      -86.3
2012	08	30	17	01	00	   21681.8	  -7.4	      -85.2
2012	08	30	17	06	00	   20781.8	  -7.7	      -83.8
2012	08	30	17	11	00	   19845.6	  -8.0	      -82.2
2012	08	30	17	16	00	   18872.2	  -8.3	      -80.3
2012	08	30	17	21	00	   17860.8	  -8.6	      -78.1
2012	08	30	17	26	00	   16810.8	  -9.0	      -75.4
2012	08	30	17	31	00	   15722.6	  -9.3	      -72.1
2012	08	30	17	36	00	   14597.8	  -9.6	      -68.2
2012	08	30	17	41	00	   13440.2	  -9.8	      -63.4
2012	08	30	17	46	00	   12258.1	 -10.0	      -57.4
2012	08	30	17	51	00	   11066.7	 -10.0	      -49.8
2012	08	30	17	56	00	    9894.9	  -9.6	      -40.2
2012	08	30	18	01	00	    8794.1	  -8.7	      -27.8
2012	08	30	18	06	00	    7852.1	  -6.8	      -11.9
2012	08	30	18	11	00	    7199.2	  -3.8	        7.7
2012	08	30	18	16	00	    6974.9	   0.2	       29.8
2012	08	30	18	21	00	    7240.4	   4.2	       51.8
2012	08	30	18	26	00	    7924.1	   7.1	       71.1
2012	08	30	18	31	00	    8884.3	   8.8	       86.7
2012	08	30	18	36	00	    9994.1	   9.7	       98.8
2012	08	30	18	41	00	   11169.3	  10.0	      108.3
2012	08	30	18	46	00	   12360.7	  10.0	      115.7
2012	08	30	18	51	00	   13541.2	   9.8	      121.6
2012	08	30	18	56	00	   14696.2	   9.5	      126.3
2012	08	30	19	01	00	   15818.0	   9.2	      130.1
2012	08	30	19	06	00	   16902.9	   8.9	      133.3
2012	08	30	19	11	00	   17949.6	   8.6	      136.0
2012	08	30	19	16	00	   18957.7	   8.2	      138.2
2012	08	30	19	21	00	   19927.8	   7.9	      140.1
2012	08	30	19	26	00	   20860.9	   7.6	      141.7
2012	08	30	19	31	00	   21757.8	   7.3	      143.0
2012	08	30	19	36	00	   22619.9	   7.0	      144.1
2012	08	30	19	41	00	   23448.2	   6.7	      145.1
2012	08	30	19	46	00	   24243.9	   6.5	      145.9
2012	08	30	19	51	00	   25008.1	   6.2	      146.6
2012	08	30	19	56	00	   25741.9	   5.9	      147.2
2012	08	30	20	01	00	   26446.2	   5.7	      147.6
2012	08	30	20	06	00	   27122.0	   5.5	      148.0
2012	08	30	20	11	00	   27770.0	   5.2	      148.3
2012	08	30	20	16	00	   28391.3	   5.0	      148.5
2012	08	30	20	21	00	   28986.4	   4.8	      148.7
2012	08	30	20	26	00	   29556.1	   4.6	      148.8
2012	08	30	20	31	00	   30101.0	   4.4	      148.8
2012	08	30	20	36	00	   30621.8	   4.2	      148.9
2012	08	30	20	41	00	   31119.0	   4.0	      148.8
2012	08	30	20	46	00	   31593.1	   3.8	      148.7
2012	08	30	20	51	00	   32044.6	   3.6	      148.6
2012	08	30	20	56	00	   32474.0	   3.4	      148.5
2012	08	30	21	01	00	   32881.6	   3.2	      148.3
2012	08	30	21	06	00	   33267.9	   3.1	      148.1
2012	08	30	21	11	00	   33633.2	   2.9	      147.9
2012	08	30	21	16	00	   33977.9	   2.7	      147.7
2012	08	30	21	21	00	   34302.2	   2.5	      147.4
2012	08	30	21	26	00	   34606.5	   2.4	      147.2
2012	08	30	21	31	00	   34890.9	   2.2	      146.9
2012	08	30	21	36	00	   35155.9	   2.0	      146.6
2012	08	30	21	41	00	   35401.4	   1.9	      146.2
2012	08	30	21	46	00	   35627.9	   1.7	      145.9
2012	08	30	21	51	00	   35835.3	   1.6	      145.6
2012	08	30	21	56	00	   36024.0	   1.4	      145.2
2012	08	30	22	01	00	   36194.1	   1.3	      144.8
2012	08	30	22	06	00	   36345.6	   1.1	      144.5
2012	08	30	22	11	00	   36478.8	   1.0	      144.1
2012	08	30	22	16	00	   36593.7	   0.8	      143.7
2012	08	30	22	21	00	   36690.3	   0.6	      143.3
2012	08	30	22	26	00	   36768.9	   0.5	      142.9
2012	08	30	22	31	00	   36829.4	   0.3	      142.5
2012	08	30	22	36	00	   36871.8	   0.2	      142.1
2012	08	30	22	41	00	   36896.3	   0.0	      141.7
2012	08	30	22	46	00	   36902.8	  -0.1	      141.3
2012	08	30	22	51	00	   36891.3	  -0.3	      140.9
2012	08	30	22	56	00	   36861.9	  -0.4	      140.5
2012	08	30	23	01	00	   36814.5	  -0.6	      140.1
2012	08	30	23	06	00	   36749.0	  -0.7	      139.7
2012	08	30	23	11	00	   36665.5	  -0.9	      139.3
2012	08	30	23	16	00	   36563.8	  -1.0	      138.9
2012	08	30	23	21	00	   36443.9	  -1.2	      138.5
2012	08	30	23	26	00	   36305.6	  -1.3	      138.2
2012	08	30	23	31	00	   36149.0	  -1.5	      137.8
2012	08	30	23	36	00	   35973.8	  -1.6	      137.4
2012	08	30	23	41	00	   35779.9	  -1.8	      137.1
2012	08	30	23	46	00	   35567.2	  -1.9	      136.7
2012	08	30	23	51	00	   35335.5	  -2.1	      136.4
2012	08	30	23	56	00	   35084.7	  -2.3	      136.1
2012	08	31	00	01	00	   34814.4	  -2.4	      135.8
2012	08	31	00	06	00	   34524.5	  -2.6	      135.5
2012	08	31	00	11	00	   34214.7	  -2.8	      135.2
2012	08	31	00	16	00	   33884.8	  -2.9	      135.0
2012	08	31	00	21	00	   33534.5	  -3.1	      134.7
2012	08	31	00	26	00	   33163.4	  -3.3	      134.5
2012	08	31	00	31	00	   32771.3	  -3.4	      134.3
2012	08	31	00	36	00	   32357.7	  -3.6	      134.2
2012	08	31	00	41	00	   31922.3	  -3.8	      134.1
2012	08	31	00	46	00	   31464.6	  -4.0	      134.0
2012	08	31	00	51	00	   30984.2	  -4.2	      133.9
2012	08	31	00	56	00	   30480.6	  -4.4	      133.9
2012	08	31	01	01	00	   29953.2	  -4.6	      133.9
2012	08	31	01	06	00	   29401.5	  -4.8	      134.0
2012	08	31	01	11	00	   28824.9	  -5.0	      134.1
2012	08	31	01	16	00	   28222.7	  -5.2	      134.3
2012	08	31	01	21	00	   27594.1	  -5.4	      134.5
2012	08	31	01	26	00	   26938.5	  -5.7	      134.8
2012	08	31	01	31	00	   26255.0	  -5.9	      135.2
2012	08	31	01	36	00	   25542.7	  -6.1	      135.7
2012	08	31	01	41	00	   24800.7	  -6.4	      136.3
2012	08	31	01	46	00	   24027.9	  -6.7	      137.0
2012	08	31	01	51	00	   23223.4	  -6.9	      137.9
2012	08	31	01	56	00	   22385.9	  -7.2	      138.9
2012	08	31	02	01	00	   21514.4	  -7.5	      140.1
2012	08	31	02	06	00	   20607.7	  -7.8	      141.5
2012	08	31	02	11	00	   19664.6	  -8.1	      143.2
2012	08	31	02	16	00	   18684.1	  -8.4	      145.1
2012	08	31	02	21	00	   17665.4	  -8.7	      147.5
2012	08	31	02	26	00	   16608.3	  -9.1	      150.2
2012	08	31	02	31	00	   15513.0	  -9.4	      153.6
2012	08	31	02	36	00	   14381.7	  -9.6	      157.7
2012	08	31	02	41	00	   13218.8	  -9.9	      162.7
2012	08	31	02	46	00	   12033.6	 -10.0	      168.9
2012	08	31	02	51	00	   10843.3	  -9.9	      176.8
2012	08	31	02	56	00	    9680.1	  -9.5	     -173.1
2012	08	31	03	01	00	    8601.4	  -8.4	     -160.0
2012	08	31	03	06	00	    7703.0	  -6.3	     -143.4
