Year	Month	Day	Hour	Minute	Second	   ALT(km)	 LAT	    LON
2012	08	30	09	26	00	    7770.2	   6.6	     -157.3
2012	08	30	09	31	00	    8689.2	   8.6	     -141.0
2012	08	30	09	36	00	    9779.0	   9.6	     -128.2
2012	08	30	09	41	00	   10947.2	   9.9	     -118.3
2012	08	30	09	46	00	   12139.1	  10.0	     -110.6
2012	08	30	09	51	00	   13324.2	   9.8	     -104.5
2012	08	30	09	56	00	   14485.9	   9.6	      -99.6
2012	08	30	10	01	00	   15615.5	   9.3	      -95.5
2012	08	30	10	06	00	   16708.9	   9.0	      -92.2
2012	08	30	10	11	00	   17764.2	   8.7	      -89.5
2012	08	30	10	16	00	   18781.1	   8.3	      -87.2
2012	08	30	10	21	00	   19759.9	   8.0	      -85.3
2012	08	30	10	26	00	   20701.4	   7.7	      -83.6
2012	08	30	10	31	00	   21606.7	   7.4	      -82.3
2012	08	30	10	36	00	   22476.9	   7.1	      -81.1
2012	08	30	10	41	00	   23313.2	   6.8	      -80.1
2012	08	30	10	46	00	   24116.8	   6.6	      -79.3
2012	08	30	10	51	00	   24888.7	   6.3	      -78.6
2012	08	30	10	56	00	   25630.0	   6.0	      -78.0
2012	08	30	11	01	00	   26341.8	   5.8	      -77.5
2012	08	30	11	06	00	   27024.8	   5.6	      -77.1
2012	08	30	11	11	00	   27680.1	   5.3	      -76.8
2012	08	30	11	16	00	   28308.5	   5.1	      -76.6
2012	08	30	11	21	00	   28910.6	   4.9	      -76.4
2012	08	30	11	26	00	   29487.3	   4.7	      -76.3
2012	08	30	11	31	00	   30039.1	   4.5	      -76.2
2012	08	30	11	36	00	   30566.7	   4.3	      -76.2
2012	08	30	11	41	00	   31070.7	   4.1	      -76.2
2012	08	30	11	46	00	   31551.5	   3.9	      -76.3
2012	08	30	11	51	00	   32009.7	   3.7	      -76.4
2012	08	30	11	56	00	   32445.8	   3.5	      -76.5
2012	08	30	12	01	00	   32860.1	   3.3	      -76.7
2012	08	30	12	06	00	   33253.1	   3.2	      -76.9
2012	08	30	12	11	00	   33625.0	   3.0	      -77.1
2012	08	30	12	16	00	   33976.3	   2.8	      -77.3
2012	08	30	12	21	00	   34307.3	   2.7	      -77.6
2012	08	30	12	26	00	   34618.3	   2.5	      -77.9
2012	08	30	12	31	00	   34909.4	   2.3	      -78.2
2012	08	30	12	36	00	   35181.1	   2.2	      -78.5
2012	08	30	12	41	00	   35433.4	   2.0	      -78.8
2012	08	30	12	46	00	   35666.6	   1.8	      -79.1
2012	08	30	12	51	00	   35880.9	   1.7	      -79.5
2012	08	30	12	56	00	   36076.5	   1.5	      -79.8
2012	08	30	13	01	00	   36253.4	   1.4	      -80.2
2012	08	30	13	06	00	   36411.9	   1.2	      -80.6
2012	08	30	13	11	00	   36552.1	   1.1	      -81.0
2012	08	30	13	16	00	   36674.1	   0.9	      -81.4
2012	08	30	13	21	00	   36777.9	   0.8	      -81.8
2012	08	30	13	26	00	   36863.7	   0.6	      -82.2
2012	08	30	13	31	00	   36931.4	   0.5	      -82.6
2012	08	30	13	36	00	   36981.3	   0.3	      -83.0
2012	08	30	13	41	00	   37013.2	   0.2	      -83.4
2012	08	30	13	46	00	   37027.3	   0.0	      -83.8
2012	08	30	13	51	00	   37023.5	  -0.1	      -84.2
2012	08	30	13	56	00	   37001.8	  -0.3	      -84.6
2012	08	30	14	01	00	   36962.3	  -0.4	      -85.0
2012	08	30	14	06	00	   36904.8	  -0.6	      -85.4
2012	08	30	14	11	00	   36829.4	  -0.7	      -85.8
2012	08	30	14	16	00	   36736.0	  -0.9	      -86.2
2012	08	30	14	21	00	   36624.4	  -1.0	      -86.6
2012	08	30	14	26	00	   36494.7	  -1.2	      -87.0
2012	08	30	14	31	00	   36346.8	  -1.3	      -87.4
2012	08	30	14	36	00	   36180.5	  -1.5	      -87.7
2012	08	30	14	41	00	   35995.6	  -1.6	      -88.1
2012	08	30	14	46	00	   35792.1	  -1.8	      -88.4
2012	08	30	14	51	00	   35569.8	  -2.0	      -88.8
2012	08	30	14	56	00	   35328.5	  -2.1	      -89.1
2012	08	30	15	01	00	   35068.0	  -2.3	      -89.4
2012	08	30	15	06	00	   34788.1	  -2.4	      -89.7
2012	08	30	15	11	00	   34488.6	  -2.6	      -90.0
2012	08	30	15	16	00	   34169.1	  -2.8	      -90.3
2012	08	30	15	21	00	   33829.5	  -2.9	      -90.5
2012	08	30	15	26	00	   33469.5	  -3.1	      -90.8
2012	08	30	15	31	00	   33088.7	  -3.3	      -91.0
2012	08	30	15	36	00	   32686.7	  -3.5	      -91.2
2012	08	30	15	41	00	   32263.2	  -3.7	      -91.3
2012	08	30	15	46	00	   31817.8	  -3.8	      -91.4
2012	08	30	15	51	00	   31350.0	  -4.0	      -91.5
2012	08	30	15	56	00	   30859.4	  -4.2	      -91.6
2012	08	30	16	01	00	   30345.5	  -4.4	      -91.6
2012	08	30	16	06	00	   29807.7	  -4.6	      -91.5
2012	08	30	16	11	00	   29245.4	  -4.8	      -91.5
2012	08	30	16	16	00	   28658.1	  -5.0	      -91.3
2012	08	30	16	21	00	   28044.9	  -5.3	      -91.1
2012	08	30	16	26	00	   27405.2	  -5.5	      -90.8
2012	08	30	16	31	00	   26738.3	  -5.7	      -90.5
2012	08	30	16	36	00	   26043.1	  -6.0	      -90.1
2012	08	30	16	41	00	   25319.0	  -6.2	      -89.6
2012	08	30	16	46	00	   24564.8	  -6.5	      -88.9
2012	08	30	16	51	00	   23779.7	  -6.7	      -88.2
2012	08	30	16	56	00	   22962.4	  -7.0	      -87.3
2012	08	30	17	01	00	   22111.8	  -7.3	      -86.2
2012	08	30	17	06	00	   21226.9	  -7.6	      -85.0
2012	08	30	17	11	00	   20306.4	  -7.9	      -83.5
2012	08	30	17	16	00	   19349.3	  -8.2	      -81.7
2012	08	30	17	21	00	   18354.5	  -8.5	      -79.6
2012	08	30	17	26	00	   17321.4	  -8.8	      -77.2
2012	08	30	17	31	00	   16249.9	  -9.1	      -74.2
2012	08	30	17	36	00	   15140.8	  -9.5	      -70.6
2012	08	30	17	41	00	   13996.9	  -9.7	      -66.3
2012	08	30	17	46	00	   12824.0	  -9.9	      -60.9
2012	08	30	17	51	00	   11633.5	 -10.0	      -54.1
2012	08	30	17	56	00	   10446.9	  -9.8	      -45.5
2012	08	30	18	01	00	    9303.5	  -9.2	      -34.5
2012	08	30	18	06	00	    8272.4	  -7.8	      -20.3
2012	08	30	18	11	00	    7464.5	  -5.4	       -2.5
2012	08	30	18	16	00	    7023.2	  -1.7	       18.7
2012	08	30	18	21	00	    7058.7	   2.4	       41.1
2012	08	30	18	26	00	    7561.2	   5.9	       61.9
2012	08	30	18	31	00	    8409.5	   8.2	       79.3
2012	08	30	18	36	00	    9462.5	   9.4	       92.9
2012	08	30	18	41	00	   10615.5	   9.9	      103.6
2012	08	30	18	46	00	   11804.5	  10.0	      111.9
2012	08	30	18	51	00	   12993.5	   9.9	      118.4
2012	08	30	18	56	00	   14162.8	   9.7	      123.6
2012	08	30	19	01	00	   15302.0	   9.4	      127.8
2012	08	30	19	06	00	   16405.7	   9.1	      131.3
2012	08	30	19	11	00	   17471.8	   8.7	      134.2
2012	08	30	19	16	00	   18499.3	   8.4	      136.6
2012	08	30	19	21	00	   19488.7	   8.1	      138.6
2012	08	30	19	26	00	   20440.5	   7.8	      140.4
2012	08	30	19	31	00	   21355.9	   7.4	      141.8
2012	08	30	19	36	00	   22235.8	   7.2	      143.0
2012	08	30	19	41	00	   23081.5	   6.9	      144.1
2012	08	30	19	46	00	   23894.1	   6.6	      144.9
2012	08	30	19	51	00	   24674.8	   6.3	      145.7
2012	08	30	19	56	00	   25424.5	   6.1	      146.3
2012	08	30	20	01	00	   26144.5	   5.8	      146.8
2012	08	30	20	06	00	   26835.5	   5.6	      147.2
2012	08	30	20	11	00	   27498.5	   5.4	      147.5
