    dgrf05
 10  6371.2 2005.0
   1  0 -29554.6     0.0
   1  1  -1669.1  5078.0
   2  0  -2337.2     0.0
   2  1   3047.7 -2594.5
   2  2   1657.8  -515.4
   3  0   1336.3     0.0
   3  1  -2305.8  -198.9
   3  2   1246.4   269.7
   3  3    672.5  -524.7
   4  0    920.5     0.0
   4  1    798.0   282.1
   4  2    210.6  -225.2
   4  3   -379.9   145.1
   4  4    100.0  -305.4
   5  0   -227.0     0.0
   5  1    354.4    42.7
   5  2    208.9   180.2
   5  3   -136.5  -123.4
   5  4   -168.1   -19.6
   5  5    -13.6   103.8
   6  0     73.6     0.0
   6  1     69.6   -20.3
   6  2     76.7    54.8
   6  3   -151.3    63.6
   6  4    -14.6   -63.5
   6  5     14.6     0.2
   6  6    -86.4    50.9
   7  0     79.9     0.0
   7  1    -74.5   -61.1
   7  2     -1.6   -22.6
   7  3     38.7     6.8
   7  4     12.3    25.4
   7  5      9.4    10.9
   7  6      5.4   -26.3
   7  7      1.9    -4.6
   8  0     24.8     0.0
   8  1      7.6    11.2
   8  2    -11.7   -20.9
   8  3     -6.9     9.8
   8  4    -18.1   -19.7
   8  5     10.2    16.2
   8  6      9.4     7.6
   8  7    -11.2   -12.8
   8  8     -4.9    -0.1
   9  0      5.6     0.0
   9  1      9.8   -20.1
   9  2      3.6    12.7
   9  3     -6.9    12.7
   9  4      5.0    -6.7
   9  5    -10.8    -8.2
   9  6     -1.2     8.1
   9  7      8.8     2.9
   9  8     -6.7    -7.7
   9  9     -9.2     6.0
  10  0     -2.2     0.0
  10  1     -6.1     2.2
  10  2      1.4     0.1
  10  3     -2.3     4.5
  10  4     -0.2     4.8
  10  5      3.1    -6.6
  10  6      0.3    -1.0
  10  7      2.1    -3.5
  10  8      3.8    -0.9
  10  9     -0.2    -2.3
  10 10     -2.1    -7.9
  11  0      3.0     0.0
  11  1     -1.6     0.3
  11  2     -1.9     1.4
  11  3      1.4    -0.8
  11  4     -0.3    -2.3
  11  5      0.3     0.9
  11  6     -0.8    -0.6
  11  7      0.5    -2.7
  11  8      1.8    -1.1
  11  9      0.2    -1.6
  11 10      1.0    -1.9
  11 11      4.0    -1.4
  12  0     -2.2     0.0
  12  1     -0.3    -0.6
  12  2      0.2     0.2
  12  3      0.9     2.4
  12  4     -0.4    -2.6
  12  5      1.0     0.6
  12  6     -0.3     0.4
  12  7      0.5     0.0
  12  8     -0.3     0.0
  12  9     -0.4     0.3
  12 10      0.1    -0.9
  12 11     -0.5    -0.3
  12 12     -0.1     0.9
  13  0     -0.2     0.0
  13  1     -0.9    -0.8
  13  2      0.3     0.3
  13  3      0.3     1.7
  13  4     -0.4    -0.5
  13  5      1.2    -1.1
  13  6     -0.4    -0.0
  13  7      0.8     0.6
  13  8     -0.3     0.2
  13  9      0.3     0.5
  13 10     -0.1     0.4
  13 11      0.4    -0.2
  13 12     -0.1    -0.6
  13 13     -0.2    -0.8
